Attribute;Mean;Median;STD;Variance;Max;Min
Positionaccept;0.831953125;0.91;0.209557042479;0.0439141540527;1.0;0.14
ProteinPropens;0.30546875;0.3;0.312951821809;0.0979388427734;1.0;-0.1
MOSST;-0.499609375;-0.5;0.488900076613;0.239023284912;1.1;-1.3
yDDG;-1.08828125;-0.85;2.04060810076;4.1640814209;3.9;-8.7
SaccW;27.7328125;16.3;29.6550601958;879.422595215;111.8;0.0
Functionalrelevancefunction;0.334765625;0.25;0.268935880032;0.0723265075684;1.0;0.0
SaccM;31.868359375;23.35;31.3473616882;982.657084808;128.5;0.0
